136,Kieron Pollard,Mumbai Indians,O,All-Rounder,2,2.5,4,Pranav,kieron-pollard,657
168,Yashasvi Jaiswal,Rajasthan Royals,I,Batsman,2,2.5,2.5,Pranav,yashasvi-jaiswal,13940
174,Jos Buttler,Rajasthan Royals,O,WK,2,2.5,2.5,Pranav,jos-buttler,2258
199,Mohammed Siraj,Royal Challengers Bangalore,I,Bowler,2,2.5,4,Pranav,mohammed-siraj,10808
209,Mahipal Lomror,Royal Challengers Bangalore,I,All-Rounder,3,1,1,Pranav,mahipal-lomror,10954
215,Aiden Markram,Sun Risers Hyderabad,O,Batsman,2,2.5,4,Pranav,aiden-markram,9582
222,Nicholas Pooran,Sun Risers Hyderabad,O,WK,2,2.5,5.5,Pranav,nicholas-pooran,9406
230,T Natarajan,Sun Risers Hyderabad,I,Bowler,2,2.5,1,Pranav,t-natarajan,10225
18,Hardik Pandya,Gujarat Titans,I,All-Rounder,2,2.5,12,Avadesh,hardik-pandya,9647
23,Rahul Tewatia,Gujarat Titans,I,All-Rounder,2,2.5,1,Avadesh,rahul-tewatia,9693
43,Moeen Ali,Chennai Super Kings,O,All-Rounder,2,2.5,10,Avadesh,moeen-ali,6692
62,Mustafizur Rahman,Delhi Capitals,O,Bowler,2,2.5,1,Avadesh,mustafizur-rahman,9863
65,Chetan Sakariya,Delhi Capitals,I,Bowler,2,2.5,1,Avadesh,chetan-sakariya,13494
81,Sam Billings,Kolkata Knight Riders,O,WK,2,2.5,1,Avadesh,sam-billings,7990
92,Venkatesh Iyer,Kolkata Knight Riders,I,All-Rounder,2,2.5,9.5,Avadesh,venkatesh-iyer,10917
107,Ankit Rajpoot,Lucknow Super Giants,I,Bowler,3,1,1,Avadesh,ankit-rajpoot,8924
110,Marcus Stoinis,Lucknow Super Giants,O,All-Rounder,2,2.5,8.5,Avadesh,marcus-stoinis,8989
119,Suryakumar Yadav,Mumbai Indians,I,Batsman,1,5,12.5,Avadesh,suryakumar-yadav,7915
141,Tim David,Mumbai Indians,O,All-Rounder,3,1,5.5,Avadesh,tim-david,13169
146,Shahrukh Khan,Punjab Kings,I,Batsman,2,2.5,3.5,Avadesh,shahrukh-khan,10226
218,Rahul Tripathi,Sun Risers Hyderabad,I,Batsman,2,2.5,4.5,Avadesh,rahul-tripathi,9012
223,Umran Malik,Sun Risers Hyderabad,I,Bowler,2,2.5,1.5,Avadesh,umran-malik,19027
233,Marco Jansen,Sun Risers Hyderabad,O,All-Rounder,3,1,0.5,Avadesh,marco-jansen,14565
28,Devon Conway,Chennai Super Kings,O,Batsman,2,2.5,2.5,Dhruv,devon-conway,9838
37,Adam Milne,Chennai Super Kings,O,Bowler,2,2.5,2.5,Dhruv,adam-milne,7625
42,Ravindra Jadeja,Chennai Super Kings,I,All-Rounder,1,5,12.5,Dhruv,ravindra-jadeja,587
73,Shreyas Iyer,Kolkata Knight Riders,I,Batsman,1,5,10.5,Dhruv,shreyas-iyer,9428
83,Varun Chakravarty,Kolkata Knight Riders,I,Bowler,2,2.5,2.5,Dhruv,varun-chakaravarthy,12926
93,Sunil Narine,Kolkata Knight Riders,O,All-Rounder,2,2.5,2.5,Dhruv,sunil-narine,2276
