S. No.,Player,Team,Type,Role,Tier,Base Price,Winning Bid,Owner,,,,,,,,
63,Lungi Ngidi,Delhi Capitals,O,Bowler,2,2.5,,,,,,,,,,
64,Khaleel Ahmed,Delhi Capitals,I,Bowler,2,2.5,,,,,,,,,,
65,Chetan Sakariya,Delhi Capitals,I,Bowler,2,2.5,1,Avadesh,,,,,,,,
66,Praveen Dubey,Delhi Capitals,I,Bowler,3,1,,,,,,,,,,
67,Kuldeep Yadav,Delhi Capitals,I,Bowler,2,2.5,1,Sree,,,,,,,,
68,Axar Patel,Delhi Capitals,I,All-Rounder,2,2.5,8.5,Ram,,,,,,,,
69,Mitchell Marsh,Delhi Capitals,O,All-Rounder,2,2.5,8,Ram,,,,,,,,
70,Lalit Yadav,Delhi Capitals,I,All-Rounder,3,1,,,,,,,,,,
71,Ripal Patel,Delhi Capitals,I,All-Rounder,3,1,,,,,,,,,,
72,Vicky Ostwal,Delhi Capitals,I,All-Rounder,3,1,,,,,,,,,,
73,Shreyas Iyer,Kolkata Knight Riders,I,Batsman,1,5,10.5,Dhruv,,,,,,,,
74,Ajinkya Rahane,Kolkata Knight Riders,I,Batsman,2,2.5,,,,,,,,,,
75,Rinku Singh,Kolkata Knight Riders,I,Batsman,3,1,,,,,,,,,,
76,Abhijeet Tomar,Kolkata Knight Riders,I,Batsman,3,1,,,,,,,,,,
77,Pratham Singh,Kolkata Knight Riders,I,Batsman,3,1,,,,,,,,,,
78,Aaron Finch,Kolkata Knight Riders,O,Batsman,2,2.5,1.5,Sauri,,,,,,,,
79,Ramesh Kumar,Kolkata Knight Riders,I,Batsman,3,1,,,,,,,,,,
80,Sheldon Jackson,Kolkata Knight Riders,I,WK,3,1,,,,,,,,,,
81,Sam Billings,Kolkata Knight Riders,O,WK,2,2.5,1,Avadesh,,,,,,,,
82,Baba Indrajith,Kolkata Knight Riders,I,Batsman,3,1,,,,,,,,,,
83,Varun Chakravarty,Kolkata Knight Riders,I,Bowler,2,2.5,2.5,Dhruv,,,,,,,,
84,Pat Cummins,Kolkata Knight Riders,O,Bowler,2,2.5,7,Ram,,,,,,,,
